藏品编号,藏品名字,藏品博物馆,藏品年代,藏品年代简介,藏品作者,藏品类型,藏品介绍,藏品图片地址,藏品地址,藏品材质,藏品来源,藏品收藏等级
17098,唐双凤含绶纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,二级
17099,唐乾封泉宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17100,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17101,唐灰陶牛,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17102,唐四瑞兽葡萄纹方铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17103,唐白釉瓷划花枕,辽宁博物馆,唐,,,瓷器,,,,瓷,旧藏,二级
17104,唐乾封泉宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17105,唐建中通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17106,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17107,唐建中通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17108,唐陶羊,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17109,唐大历元宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17110,唐白釉陶牛,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17111,唐龙首铜熨斗,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,三级
17112,唐大历元宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17113,唐青瓷四系罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17114,唐菱花形双鸾瑞兽云纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17115,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17116,唐人草书沙门昙旷大乘起信论广释卷上卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17117,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,采集,三级
17118,唐瓜楞陶执壶,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17119,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17120,唐人草书恪法师第一抄卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17121,唐人写佛说要行捨身经残片横幅,辽宁博物馆,唐,,,书法、绘画,,,,丝,旧藏,二级
17122,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17123,唐人写金刚波罗密经卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17124,唐羊首青玉带钩,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,拨交,二级
17125,唐酱邛窑黄釉瓷碟,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17126,唐红陶卧牛,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17127,唐得壹元宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17128,唐人写观世音经残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17129,唐马首玉带钩,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,拨交,二级
17130,唐散点式宝相花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,二级
17131,唐顺天元宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17132,唐人写大智度经卷第二十六残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17133,唐高句丽铁盔,辽宁博物馆,唐,,,铁器、其他金属器,,,,铁,发掘,一级
17134,唐顺天元宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17135,唐人写禅门要经残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17136,唐陶阉者俑（残）,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17137,唐鲁山窑花釉执壶,辽宁博物馆,唐,,,瓷器,,,,瓷,采集,二级
17138,唐鲁山段店窑钧瓷双耳罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17139,唐人写妙法莲花经残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17140,唐鲁山段店窑钧瓷双耳罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17141,唐印花方砖,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,砖瓦,拨交,三级
17142,唐玉马,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,旧藏,二级
17143,唐白釉瓷水丞,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17144,唐仿东汉四神铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17145,唐钧瓷水注,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,二级
17146,唐人写妙法莲华经残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17147,唐白釉小瓷壶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17148,唐长沙窑双耳瓷水注,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17149,唐人写菩萨经残片轴,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17150,唐九霄环佩琴,辽宁博物馆,唐,,,乐器、法器,,,,"木,其他动物质,其他有机质",旧藏,一级
17151,唐人写妙法莲华经残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17152,唐印板佛说长阿含经残页,辽宁博物馆,唐,,,古籍图书,,,,纸,旧藏,二级
17153,唐碧玉鱼,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,旧藏,二级
17154,唐武士陶俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17155,唐人写大智度第八十二品中释论卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17156,唐碧玉鱼,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,旧藏,二级
17157,唐黑釉小注壶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17158,唐白釉碗,辽宁博物馆,唐,,,瓷器,,,,瓷,旧藏,三级
17159,唐铜菩萨立像,辽宁博物馆,唐,,,雕塑、造像,,,,铜,拣选,二级
17160,唐三彩武士俑,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17161,唐陶女乐俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17162,唐王瀚书大乘无量寿经卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17163,唐六瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17164,唐邛窑酱黄胎擦蒜瓷盘,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17165,唐人写大乘起信论疏卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17166,唐三彩六瓣花四系罐,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17167,唐浅褐釉陶鞍马,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17168,唐人书佛说佛名经卷第二卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17169,唐陶阉者俑,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17170,唐鎏金铜文殊菩萨像,辽宁博物馆,唐,,,雕塑、造像,,,,"铜,金",拣选,二级
17171,唐人书佛说摩诃般若波罗密多心经卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17172,唐陶阉者俑,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17173,唐瑞兽孔雀葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17174,唐三彩陶镇墓兽,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17175,唐人写大般涅盘经卷第十八卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17176,唐葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,二级
17177,唐铜观音立像,辽宁博物馆,唐,,,雕塑、造像,,,,铜,拣选,二级
17178,唐人写妙法莲花经卷第二卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17179,唐四鸟菱花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,二级
17180,唐白釉陶女俑,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17181,唐咸通玄宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17182,唐人写妙法莲花经卷第二卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17183,唐双鸾双兽云纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17184,唐鎏金铜释迦坐像,辽宁博物馆,唐,,,雕塑、造像,,,,"铜,金",拣选,二级
17185,唐人写四分戒本疏卷第二卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17186,唐瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17187,唐广窑乳白釉陶执壶,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17188,唐瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,其他无机质,征集购买,三级
17189,唐写春秋后语残本卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17190,唐瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,三级
17191,唐写妙法莲花经册,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17192,唐三彩武士俑,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17193,唐四花葵花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17194,唐青花点彩罐,辽宁博物馆,唐,,,瓷器,,,,瓷,依法交换,三级
17195,唐三彩莲花小盂,辽宁博物馆,唐,,,陶器,,,,陶,依法交换,三级
17196,唐三彩陶西域人俑,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17197,唐素面纹葵花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17198,唐三彩注壶,辽宁博物馆,唐,,,瓷器,,,,瓷,依法交换,三级
17199,唐陶瓦屋,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17200,唐弦纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17201,唐红陶骆驼俑,辽宁博物馆,唐,,,陶器,,,,陶,依法交换,三级
17202,唐陶人首,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17203,唐连弧纹合欢铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17204,唐莲纹灰陶瓦当,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,砖瓦,依法交换,三级
17205,唐鸟兽葡萄纹八楞铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17206,唐鸟兽葡萄纹葵花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17207,唐飞鸟葡萄纹菱花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,三级
17208,唐宝相花纹菱花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17209,唐三彩仗马,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,一级
17210,唐花鸟纹菱花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17211,唐三彩仗马,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,一级
17212,唐四鸟纹菱花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17213,唐黄釉陶把壶,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17214,唐释迦石佛头,辽宁博物馆,唐,,,雕塑、造像,,,,石,拨交,二级
17215,唐穿枝飞鸟纹葵花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17216,唐石雕武士像,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,石,拨交,三级
17217,唐彩绘人物壁画,辽宁博物馆,唐,,,书法、绘画,,,,其他无机质,依法交换,二级
17218,唐四兽纹葵花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17219,唐开元铜钱烧块,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,三级
17220,唐贴银瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,"铜,银",旧藏,二级
17221,唐瑞兽飞鸟葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17222,唐印花三彩三足陶盘,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17223,唐瑞兽飞鸟葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17224,唐莲花双童八花形铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拨交,三级
17225,唐绿釉四耳陶罐,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17226,唐瑞兽飞鸟葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17227,唐邢窑白瓷花式杯,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,二级
17228,唐邛州窑小注壶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17229,唐白瓷碟,辽宁博物馆,唐,,,瓷器,,,,瓷,旧藏,二级
17230,唐佛铜像,辽宁博物馆,唐,,,雕塑、造像,,,,铜,拣选,三级
17231,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17232,唐佚名草书千字文第五本卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,接受捐赠,一级
17233,唐邛州窑贴花盖壶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17234,唐鎏金铜观音立像,辽宁博物馆,唐,,,雕塑、造像,,,,"铜,金",拣选,二级
17235,唐海兽纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,二级
17236,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17237,唐岳州窑注壶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17238,唐弦纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,二级
17239,唐白釉罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17240,唐五花菱花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17241,唐仿汉昭明铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17242,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,二级
17243,唐黄釉帖缨络执壶,辽宁博物馆,唐,,,瓷器,,,,瓷,接受捐赠,三级
17244,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17245,唐三彩高足盘,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17246,唐三彩釉陶灶,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17247,渤海国灰瓦残片,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,砖瓦,采集,一般
17248,唐黄釉陶罐,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17249,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17250,唐白釉陶仓,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17251,唐白釉双螭耳瓶,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17252,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17253,唐灰青釉双耳罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17254,唐灰白釉陶瓶,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,三级
17255,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17256,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17257,唐黑褐釉双耳罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
17258,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17259,唐陶制各种供器,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,二级
17260,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17261,唐邛州窑素烧陶瓶,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17262,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17263,唐花釉双耳罐,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,二级
17264,唐弦纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17265,唐黑釉双耳小罐,辽宁博物馆,唐,,,瓷器,,,,瓷,拨交,二级
17266,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17267,唐灰绿釉双耳瓷罐,辽宁博物馆,唐,,,瓷器,,,,瓷,旧藏,二级
17268,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17269,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17270,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17271,唐鱼形铜镐,辽宁博物馆,唐,,,铜器,,,,铜,拣选,二级
17272,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17273,唐六出葵口宝相花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,拣选,三级
17274,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17275,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17276,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17277,唐瑞兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,接受捐赠,一级
17278,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17279,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17280,唐黄绿釉双耳瓷罐,辽宁博物馆,唐,,,瓷器,,,,瓷,发掘,二级
17281,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17282,唐残灰陶碗,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17283,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17284,唐残绢制品,辽宁博物馆,唐,,,织绣,,,,丝,拨交,二级
17285,唐莲纹瓦当,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,砖瓦,发掘,二级
17286,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17287,唐残铁铲,辽宁博物馆,唐,,,铁器、其他金属器,,,,铁,发掘,二级
17288,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17289,唐铁钉,辽宁博物馆,唐,,,铁器、其他金属器,,,,铁,发掘,二级
17290,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17291,唐铁器残块,辽宁博物馆,唐,,,铁器、其他金属器,,,,铁,发掘,二级
17292,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17293,唐骨柱头、骨棒残件,辽宁博物馆,唐,,,牙骨角器,,,,骨角牙,发掘,二级
17294,唐海兽葡萄纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,接受捐赠,三级
17295,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17296,唐残红陶武士俑头,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17297,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17298,唐红陶残马俑,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17299,唐三彩釉镇墓兽俑,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17300,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17301,唐灰陶男俑,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17302,唐菩萨铜像,辽宁博物馆,唐,,,雕塑、造像,,,,铜,拣选,三级
17303,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17304,唐石墓志残块,辽宁博物馆,唐,,,石器、石刻、砖瓦,,,,石,发掘,二级
17305,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17306,唐石雕头像,辽宁博物馆,唐,,,雕塑、造像,,,,石,发掘,一级
17307,唐大般涅槃经卷第三十五卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,征集购买,三级
17308,唐透雕蟠螭玉带钩,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,旧藏,二级
17309,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17310,唐磨光黑陶壶,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17311,唐人写金光明经手卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,征集购买,三级
17312,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17313,唐灰陶残片,辽宁博物馆,唐,,,陶器,,,,陶,发掘,一般
17314,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17315,唐素面铜镜,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17316,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17317,唐铜铃,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17318,唐白瓷罐,辽宁博物馆,唐,,,瓷器,,,,瓷,拨交,三级
17319,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17320,唐铜带卡,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17321,晚唐青白瓷黑花瓜楞罐,辽宁博物馆,唐,,,瓷器,,,,瓷,旧藏,二级
17322,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17323,唐银饰残片,辽宁博物馆,唐,,,金银器,,,,银,发掘,二级
17324,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,发掘,二级
17325,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17326,唐镶嵌铜钉骨残片,辽宁博物馆,唐,,,牙骨角器,,,,"骨角牙,铜",发掘,二级
17327,唐白釉鼓腹罐,辽宁博物馆,唐,,,瓷器,,,,瓷,拨交,二级
17328,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17329,唐鹿角镞,辽宁博物馆,唐,,,牙骨角器,,,,骨角牙,发掘,二级
17330,唐四鸟草花菱花纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17331,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17332,唐动物骨残块,辽宁博物馆,唐,,,牙骨角器,,,,骨角牙,发掘,二级
17333,唐开元通宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17334,唐瓷器残片,辽宁博物馆,唐,,,瓷器,,,,瓷,发掘,二级
17335,唐乾封泉宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17336,唐残陶俑头像,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,一级
17337,唐彩绘陶仪仗俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17338,唐佚名簪花仕女图卷,辽宁博物馆,唐,,,书法、绘画,,,,丝,旧藏,一级
17339,唐青玉管,辽宁博物馆,唐,,,玉石器、宝石,,,,宝玉石,拨交,二级
17340,唐铜钵,辽宁博物馆,唐,,,铜器,,,,铜,拨交,二级
17341,唐乾封泉宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,二级
17342,唐镇墓兽残块,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17343,唐花鸟纹铜镜,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17344,唐彩绘陶镇墓兽,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17345,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17346,唐彩绘陶塑仗马、骆驼,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17347,唐三彩釉小瓷酒杯,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17348,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17349,唐陶女俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17350,唐三彩小陶罐,辽宁博物馆,唐,,,陶器,,,,陶,征集购买,三级
17351,唐残双鸾凤纹菱花铜镜,辽宁博物馆,唐,,,铜器,,,,铜,旧藏,二级
17352,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17353,唐文官陶俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17354,唐三彩陶狮子,辽宁博物馆,唐,,,雕塑、造像,,,,陶,征集购买,三级
17355,渤海国壁画残片,辽宁博物馆,唐,,,书法、绘画,,,,泥,发掘,二级
17356,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17357,唐陶灶俑、锅,辽宁博物馆,唐,,,陶器,,,,陶,发掘,二级
17358,唐写妙法莲华经卷第一残卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,二级
17359,唐三彩碗,辽宁博物馆,唐,,,陶器,,,,陶,旧藏,二级
17360,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17361,唐残辟邪熏铜炉,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17362,唐陶碾、陶磨,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17363,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17364,唐拱手胡俑、伏听俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17365,唐欧阳询行书千字文卷,辽宁博物馆,唐,,,书法、绘画,,,,纸,旧藏,一级
17366,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17367,唐陶猪、陶羊、人首蛇身俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17368,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17369,唐铜钵,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,二级
17370,唐陶武士俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,发掘,二级
17371,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17372,唐残铜盘,辽宁博物馆,唐,,,铜器,,,,铜,征集购买,三级
17373,唐羊首流三足壶形铜焦斗,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17374,唐乾元重宝铜钱,辽宁博物馆,唐,,,钱币,,,,铜,旧藏,三级
17375,唐武士陶立俑,辽宁博物馆,唐,,,雕塑、造像,,,,陶,拨交,三级
17376,唐长把有流三足铜焦斗,辽宁博物馆,唐,,,铜器,,,,铜,发掘,二级
17377,唐黄釉瓷提水斗,辽宁博物馆,唐,,,瓷器,,,,瓷,征集购买,三级
